feature,coef,importance_abs
id,11.29911298825577,11.29911298825577
V4,2.8533097647197527,2.8533097647197527
V12,-2.3724649202255077,2.3724649202255077
V11,1.960601242538377,1.960601242538377
V8,-1.5937064576219886,1.5937064576219886
V14,-1.3902447283730364,1.3902447283730364
V10,-1.3233130435395106,1.3233130435395106
V18,-0.9562811741972771,0.9562811741972771
V7,-0.678345419836832,0.678345419836832
V1,-0.6407272866818229,0.6407272866818229
V9,0.5416178841220644,0.5416178841220644
V6,-0.5006245115588581,0.5006245115588581
V16,-0.49206541839779566,0.49206541839779566
V21,0.3738657518290866,0.3738657518290866
V25,0.37289003855758085,0.37289003855758085
V5,-0.3392013923008625,0.3392013923008625
V13,0.33402269797978223,0.33402269797978223
V17,-0.2993336075686186,0.2993336075686186
V23,-0.2361277608433424,0.2361277608433424
V27,0.1990001246992386,0.1990001246992386
V19,-0.1911360940573058,0.1911360940573058
V22,0.17834702048841417,0.17834702048841417
V20,0.17182031164418526,0.17182031164418526
V28,0.12982427287956252,0.12982427287956252
V26,-0.11197564414553976,0.11197564414553976
V3,0.10296352587840396,0.10296352587840396
V15,-0.08673953229831831,0.08673953229831831
Amount,-0.05436570120353051,0.05436570120353051
V24,-0.049479469925119625,0.049479469925119625
V2,-0.02251794357060724,0.02251794357060724
